식별자,유저 아이디,배송일,결제 수단,배송지,수취인,수취인 연락처
1,umdt1694,2024-04-02T13:22:06,DIGITAL_WALLET,대구광역시 동구,,
1,umdt1694,2024-04-02T13:22:06,DIGITAL_WALLET,대구광역시 동구,,
1,umdt1694,2024-04-02T13:22:06,DIGITAL_WALLET,대구광역시 동구,,
2,fmzh0610,2024-04-05T14:56:12,CREDIT_OR_DEBIT_CARD,대구광역시 중구,,
3,eags2947,2024-04-06T17:19:32,DIGITAL_WALLET,서울특별시 성동구,,
4,tfdx7337,2024-04-08T09:19:09,DIGITAL_WALLET,부산광역시 중구,,
5,oxjs8460,2024-04-08T09:41:07,CREDIT_OR_DEBIT_CARD,부산광역시 동구,,
6,wqlu4004,2024-04-10T16:42:42,CREDIT_OR_DEBIT_CARD,경기도 안산시 상록구,,
6,wqlu4004,2024-04-10T16:42:42,CREDIT_OR_DEBIT_CARD,경기도 안산시 상록구,,
7,diqj8793,2024-04-14T14:35:17,DEPOSIT_WITHOUT_PASSBOOK,경기도 구리시,,
8,klby5795,2024-04-15T08:37:39,CREDIT_OR_DEBIT_CARD,경기도 파주시,,
9,dqjs9930,2024-04-15T08:40:40,DIGITAL_WALLET,대전광역시 동구,,
10,swrm6974,2024-04-16T17:00:23,DIGITAL_WALLET,서울특별시 도봉구,,
11,qwgq9011,2024-04-17T10:52:49,CREDIT_OR_DEBIT_CARD,광주광역시 북구,,
12,omex5197,2024-04-17T11:43:43,DIGITAL_WALLET,서울특별시 서대문구,,
13,nykp7802,2024-04-17T17:10:37,CREDIT_OR_DEBIT_CARD,대구광역시 달서구,,
14,ctnc7939,2024-04-17T17:29:29,DIGITAL_WALLET,서울특별시 서초구,,
15,idwa6344,2024-04-17T18:25:34,DIGITAL_WALLET,서울특별시 용산구,,
15,idwa6344,2024-04-17T18:25:34,DIGITAL_WALLET,서울특별시 용산구,,
15,idwa6344,2024-04-17T18:25:34,DIGITAL_WALLET,서울특별시 용산구,,
16,ffie0071,2024-04-19T11:54:13,DEPOSIT_WITHOUT_PASSBOOK,충청북도 보은군,,
17,fecn6561,2024-04-19T16:23:56,CREDIT_OR_DEBIT_CARD,대전광역시 서구,,
18,lnvh3478,2024-04-20T11:05:45,CREDIT_OR_DEBIT_CARD,서울특별시 마포구,,
19,zxua3067,2024-04-21T15:28:04,DEPOSIT_WITHOUT_PASSBOOK,경기도 고양시 덕양구,,
20,rzsl4349,2024-04-22T13:35:25,DIGITAL_WALLET,대구광역시 동구,,
21,awga1435,2024-04-23T13:50:12,DIGITAL_WALLET,서울특별시 도봉구,,
22,qyec9734,2024-04-25T08:54:43,CREDIT_OR_DEBIT_CARD,부산광역시 동래구,,
23,aqxw5041,2024-04-28T13:27:43,DIGITAL_WALLET,대구광역시 달성군,,
24,gczz9647,2024-04-30T08:18:35,DIGITAL_WALLET,서울특별시 동대문구,,
25,oezu5202,2024-04-30T18:13:51,DEPOSIT_WITHOUT_PASSBOOK,광주광역시 광산구,,
26,fyxc2162,2024-04-30T16:46:55,CREDIT_OR_DEBIT_CARD,광주광역시 북구,,
