주문 식별자,상품명,사이즈,수량
1,라번 웜앤라이트 슬랙스,L,1
1,로타 바시티 자켓,M,1
1,코첼 양기모 투웨이 후드 집업,FREE,1
2,SPID306 라딘 밴딩 린넨 팬츠,L,1
3,마일드 리프트 스니커즈 HPCR3FA305,240,1
4,베라크 하이넥 에코퍼 집업,FREE,1
5,마일드 리프트 스니커즈 HPCR3FA305,250,1
6,COMFY.EZ 맥스 워킹화 HPCR5FA312,250,1
6,클레트 12cm 가보시 블랙 가죽 킬힐 구두,240,1
7,에임스 스퀘어토 뮬 블로퍼 힐,250,1
8,반스 프리미엄 BMX Slip-on 슬립온 리이슈 98 LX,240,1
9,소가죽 발레코어 스니커즈 EBAL147511,240,1
10,클레트 12cm 가보시 블랙 가죽 킬힐 구두,230,1
11,마일드 리프트 스니커즈 HPCR3FA305,240,1
12,소가죽 발레코어 스니커즈 EBAL147511,240,1
13,키로프 니트 투웨이 집업,M,2
14,아디다스 가젤 볼드 W ID7056,240,1
15,SPID306 라딘 밴딩 린넨 팬츠,M,1
15,리드 기모 후드 티셔츠,FREE,1
15,코첼 양기모 투웨이 후드 집업,FREE,1
16,콜린 데일리 트임넥 니트,FREE,1
17,코첼 양기모 투웨이 후드 집업,FREE,1
18,로스트 양털 코트 점퍼,FREE,2
19,리드 기모 후드 티셔츠,FREE,2
20,COMFY.EZ 맥스 워킹화 HPCR5FA312,230,1
21,콜린 데일리 트임넥 니트,FREE,1
22,키로프 니트 투웨이 집업,S,1
23,고프코어 스니커즈 EBAL147110,230,1
24,STEH203 포커스 팝포인트 후드,L,1
25,COMFY.EZ 맥스 워킹화 HPCR5FA312,250,1
26,로스트 양털 코트 점퍼,FREE,1
